name,address1,address2,city,state,zipcode,country,contact_info,email,reg_no,descriptions
Midori Synergy Sdn Bhd,No 7 Laluan Tasek Timur 15 Taman Mewah," Bercham",Ipoh,Perak,31400,Malaysia,"Tel. 05-5455232 Fax. ",,1057069-W,"GST No. 001010683904 "
Perak Tyre Service Center,"No.96-100,Jalan C.M.Yusoff, "," ",Ipoh,Perak,30250,Malaysia,"Tel. 05-2543459 Fax. ",,000320696-X,"GST No. 001811714048 "
Syarikat San Plastics,"Lot PT 2013 Batu 1 1/4, Jalan Kota Baru,"," ",Gopeng,Perak,31600,Malaysia,"Tel. 05-3592899 Fax. ",,288538-H,"GST No. 001472643072 "
Elektrik Boon,"PT 2658, Taman Baru Jalan Kampar,"," ",Langkap,Perak,36700,Malaysia,"Tel. 0165511509 Fax. ",,IP0053759-M,"GST No. 001132658688 "
TC Trucks After Sales Sdn Bhd,"Lot 181641, Lebuh Perusahan 9 Kawasan Perusahaan IGB"," ",Chemor,Perak,31200,Malaysia,Tel. 016-3393826 Fax. 05-2919029,,927812-T,"GST No. 002072756224 "
Chong Mok Sang (Land Survey Services),43A Jalan Pengkalan Utama 1 Taman Pengkalan Utama," ",Ipoh,Perak,31650,Malaysia,"Tel. 0195112732, 5735761 Fax. ",,IP105949-V,"GST No. 001948487680 "
Nanyang Siang Pau Sdn Bhd,"No.1,Jalan SS 7/2, "," ",Petaling Jaya,Selangor,47301,Malaysia,Tel. 03-78726888/76508666 Fax. 03-76508697,,6164-V,"GST No. 001482162176 "
Chong Kee Trading Sdn Bhd,"No.8 ,Jalan Balakong Jaya 4, Taman Industri Balakong Jaya,"," ",Seri Kembangan,Selangor,43300,Malaysia,"Tel.  Fax. ",,001862141-k,"GST No.  "
RMS (IP) Sdn. Bhd.,"41-A,Jalan Leong Boon Swee, "," ",IPOH,PERAK,31650,Malaysia,"Tel.  Fax. ",,751412-X,"GST No.  "
Lima Ratus Eka,"LC 696, Kampung Baru,"," ",Malim Nawar,Perak,31700,Malaysia,"Tel.  Fax. ",,IP0372202-U,"GST No. 000116723712 "
Telagamas Motors Sdn. Bhd.,"NO.91 Jln Tunku Abdul Rahman, (Jalan Kuala Kangsar)"," ",Ipoh,Perak,30010,Malaysia,"Tel. 05-5060000 Fax. ",,665407-K,"GST No. 000944013312 "
Paltech Engineering & Trading,"9,Lintasan Perajurit 11A, Taman Ipoh Timur,"," ",Ipoh,Perak,31400,Malaysia,"Tel.  Fax. ",,IP0220991-A,"GST No. 000243507200 "
Hup Trading Bus Construction Sdn Bhd,"Plot 43,Hala Perusahaan Menglembu 3, Kawasan Perindustrian Menglembu,"," Menglembu",Ipoh,Perak,31450,Malaysia,Tel. 05-2821942 Fax. 05-2821992,,102617-U,"GST No. 001666269184 "
Federal Auto Cars Sdn. Bhd.,"Ground Floor,Menara MBMR 1,Jalan Syed Putra,"," ",,Kuala Lumpur,58000,Malaysia,"Tel. 03-22601411 Fax. ",,291371-A,"GST No. 001842544640 "
Poly Gain Industries Sdn Bhd,"Lot 141969, Batu 11,","Jalan Kuala Kangsar Kanthan Baru,",Chemor,Perak,31200,Malaysia,"Tel. 05-2013393,019-5769861 Fax. ",,459822-M,"GST No. 002130714624 "
TCMK ENTERPRISE,"167,Jalan Machang, Kampung Kubong Gali,"," ",Tanah Merah,Kelantan,17500,Malaysia,"Tel. 019-9806662,09-9558319 Fax. ",,KT0396387-P,"GST No. 001821536256 "
Yong Xing Tyres Trading,"No.1 Jalan Serai Muda 1, Taman Serai Muda,"," ",Bagan Serai,Perak,34300,Malaysia,"Tel. 012-5505665,016-5575665,016-4422191 Fax. ",,PG0117459-U,"GST No. 002065375232 "
Kuan & Ho Sdn Bhd,"20-22,Jalan Panglima, "," ",Ipoh,Perak,30000,Malaysia,"Tel. 05-2544427/1754/3795 Fax. ",,051856-T,"GST No. 000677781504 "
NF Agritech,"65,Jalan Cenderawasih 3, Taman Cenderawasih Indah,"," ",Nibong Tebal,"Penang ",14300,Malaysia,"Tel.  Fax. ",,IP0274464-U,"GST No. 001253199872 "
Pin Hua Trading,"2, Jalan Medan Ipoh 3, Bandar Baru Medan Ipoh,"," ",Ipoh,Perak,31400,Malaysia,"Tel. 05-5451818,5454800 Fax. ",,IP0001220-U,"GST No. 001793392640 "
Y.S.P. Industries (M) Sdn Bhd,"Level 22,Menara LGB, No.1Jalan Wan Kadir,","Taman Tun DR.Ismail, ",,Kuala Lumpur,60000,Malaysia,"Tel.  Fax. ",,192593 U,"GST No. 001062031360 "
Syarikat Adik-Beradik Tong Ying Motor Sdn Bhd,No.40 Jalan Gopeng," ",Kampar,Perak,31900,Malaysia,"Tel. 05-4662888,019-5702188 Fax. ",,91771-P,GST No.  (Mr.Cheong Koon Wan)
Mutual Way Lime Products S/B,"56,Jalan Leong Boon Swee "," ",Ipoh,Perak,30000,Malaysia,"Tel. 05-2531886(ms teo) Fax. ",,149029-k,"GST No. 000348160000 "
CBN(IPOH)SDN BHD,"26,Medan Bendahara 1, Jalan Bendahara,"," Ipoh",Perak,,31650,Malaysia,"Tel. 05-2550333,05-255107 Fax. 05-2413591",,248160-K,"GST No. 000905314304 "
Chong Ye Engineering,"158,Off Jalan Lahat, "," ",Ipoh,Perak,30200,Malaysia,"Tel. 05-2821791 Fax. ",,IP0150291-U,"GST No. 001386127360 "
Hon Yeen Enterprise,"59,Pekeliling Ampang Baru, "," ",,Ipoh,31400,Malaysia,"Tel. 05-3121901,012-5282639 Fax. ",,IP0081794-K,"GST No. 0009 "
Cheong Kee Chan,"NO.153&154, Bali New Village,"," ",Tronoh,Perak,31750,Malaysia,"Tel. 016-5556249,05-3656249 Fax. ",,00081419-M,"GST No. 000718348288 "
Global Mix Sdn Bhd,"56,Jalan Leong Boon Swee, "," ",Ipoh,Perak,30000,Malaysia,"Tel. 05-2531886,2545893 Fax. ",,234639-H,"GST No.  "
Chee Heng Tyre Center Sdn Bhd,"No.6-8,Taman Tun Sambanthan, "," ","Sg Siput(U),Perak",Perak,31100,Malaysia,"Tel. 05-5981081,016-5268663 Fax. ",,1126881-V,"GST No. 001086607360 "
Enerfo Malaysia Sdn Bhd,"3-10-06, No.1,Jalan Pengaturcara U1/51A,","UOA Business Park, Seksyen U1,",Shah Alam,Selangor,40150,Malaysia,"Tel.  Fax. ",,1212875-M,"GST No.  "
Marklee Enterprise,"No.25,Persiaran Indah 6, Desa Pengkalan Indah,"," ",Ipoh,Perak,31650,Malaysia,"Tel. 05-3232449,012-5036831 Fax. ",,232854-H,"GST No. 000205590528 "
Prime Silver Metrology Enterprise,"G3,Medan Purnama Jalan Kg Rawa, "," ",Gopeng,Perak,31600,Malaysia,Tel. 012-5282644 Fax. 05-3593786,,IP0277150-T,"GST No.  "
Dream Makers Biopharma (m) S/B,"A1-12, PJ Industrial Park Lot 2",Jalan Kemajuan Seksyen 13,Petaling Jaya,Selangor,46200,Malaysia,"Tel. 0379565723 Fax. ",,91517-X,"GST No. 001252835328 "
"Hup Soon Poultry Farm ","Lot 2393, Kawasan Timor ,","Tanjong Sepat, ",Tanjong Sepat,Selangor,42800,Malaysia,"Tel. 017-3962428/0162522428 Fax. ",,,"GST No. 000367812608 "
Hup Soon Poultry Farm Sdn Bhd,"Lot 2393, Kawasan Timor ,","Tanjong Sepat, Kuala Langat",Tanjong Sepat,Selangor,42800,Malaysia,"Tel. 017-3962428/0162522428 Fax. ",,1185608 D,"GST No. 000029105184 "
Choun Huat Trading Sdn Bhd,"No.49 &51,Jalan Pengasah 2, Batu 33/4,","Jalan Kapar, ",Klang,Selangor,42100,Malaysia,"Tel. 03-32918384,012-2028384 Fax. ",,895202-H,"GST No.  "
Lasuki Food Technology Sdn Bhd,"3,Persiaran Perindustrian Pengkalan 10, Kawasan Perindustrian Pengkalan,"," ",Ipoh,Perak,31650,Malaysia,"Tel. 05-3227418,016-5231963 Fax. ",,1105657-V,"GST No.  "
LSK Food Industries Sdn Bhd,"3, Persiaran Perindustrian Pengkalan 10,  Kawasan Perindustrian Pengkalan"," ",Ipoh,Perak,31500,Malaysia,"Tel. 05-3227418/9,016-7161963 Fax. ",,919745-W,"GST No.  "
Li Ann Auto Service,"PT.160822&160823,Persiaran Klebang 1, Kaw Perusahaan IGB,","Off Jln K.K ",Ipoh,Perak,31200,Malaysia,Tel. 05-2923182 Fax. 05-2923182,,IP0188784-D,"GST No. 002128601088 "
Kim Sing Tyre Service Sdn Bhd,"No.22,Persiaran Klebang 1, Kawasan Perusahaan IGB,","Off JalanK.Kangsar, ",Ipoh,Perak,31200,Malaysia,"Tel. 05-2914946,016-5597635 Fax. ",,599386-T,"GST No. 001724350464 "
Perniagaan Soon San Sdn Bhd,"Lot 1657, Jalan Lintang,","Batu 4, ",Sungai Siput(U),Perak,31100,Malaysia,"Tel. 019-5262068,012-5252068 Fax. ",,IP0277504-H,"GST No.  "
He Feng Agriculture Trading Sdn Bhd,"No.11,Ground Floor, Persian Sentosa,","Taman Sentosa Perdana, ",Sungai Siput(U),Perak,31100,Malaysia,"Tel. 05-5988224 Fax. ",,856629-W,"GST No. 002118156288 "
Beauty Balloon Sdn Bhd,"No1&1A, Jalan Medan Ipoh 7,","Bandar Baru Medan, ",Ipoh,Perak,31400,Malaysia,"Tel. 05-5458899/5458816 Fax. ",,672094-X,"GST No. 000713592832 "
Golden Seedlings Enterprise Sdn. Bhd.,"28, Jalan Besar "," ",Langkap,Perak,36700,Malaysia,"Tel. 05-6591380, 016-5532851 Fax. ",,884723-W,"GST No. 000329310208 "
Kota Ming Auto Repairers Sdn Bhd,"No 4,Jalan 51/200A, Sek 51"," Petaling Jaya,",Petaling Jaya,Selangor,46050,Malaysia,"Tel.  Fax. ",,669850-V,"GST No. 000447135744 "
Mencelup Tayar Dan Membaiki Kereta Onn Fatt,"24 &25,Jalan Burung Merbok, Taman Sri Kampar,"," ",Kampar,,31900,Malaysia,"Tel. 05-4664145 Fax. ",,IP/46108-U,"GST No. 001306558464 "
BNE Animal Health Sdn. Bhd.,"6 Jalan PJU1A/42, Ara Damansara,"," ",Petaling Jaya,Selangor,47301,Malaysia,"Tel. 03-78590403 Fax. 03-78590403,78870403",,1108618-W,"GST No. 000263208960 "
Big Dataworks Sdn. Bhd.,Wisma Commerce Dot Com No. 15 Jalan Tandang," ",Petaling Jaya,Selangor,46050,Malaysia,"Tel. 03-79855393 Fax. ",,934369-T,"GST No. 000921247744 "
Lian Agro Solutions,"13, Laluan Lapangan Siber 6 Bandar Cyber"," ",Ipoh,Perak,31350,Malaysia,"Tel. 012-5828283, 012-5538007 Fax. ",,IP0261625-M,"GST No. 000130224128 "
Prima Inter-Chem Sdn Bhd,"4,Jalan Sungai Kayu Ara 32/38, Taman Berjaya Industrial Park,","Sekyen 32, Shah Alam,",,Selangor,40460,Malaysia,"Tel. 03-57406060 Fax. ",,117521-W,"GST No. 000479330304 "
Lofty Ambition Sdn Bhd(Ipoh),"81,Jalan Kuala Kangsar "," ",Ipoh,Perak,30010,Malaysia,"Tel.  Fax. ",,1032519-P,"GST No. 000562339840 "
Chong Sin Sing Farm,"H-12,Taman Bukit "," ",Bidor,Perak,35500,Malaysia,"Tel. 05-4348768 Fax. ",,IP0516940-P,"GST No. 001744547840 "
Chun Swee Hin Farm,"K-81,Taman Bukit "," ",Bidor,Perak,35500,Malaysia,"Tel. 05-4349198 Fax. ",,IP0011673-M,"GST No. 000530575360 "
Lau Khen Hing,"NO-413, Kampung Baru"," Malim Nawar",,Perak,31700,Malaysia,"Tel.  Fax. ",,,GST No.  670422-08-5773
Volcano Agribusiness Sdn Bhd,"PT 38858, Hala Perusahaan Menglembu 3,","Kawasan Perindustrian Menglembu, ",Ipoh,Perak,31450,Malaysia,"Tel. 05-2822827/2823352 Fax. ",,544373-X,"GST No. 000458731520 "
Fu Yuan Agriculture & Farming,"15,Hala Becham Timur 10, Taman Pakatan,"," ",Ipoh,Perak,31400,Malaysia,"Tel.  Fax. ",,IP018296-W,"GST No. 000183595008 "
Sim Hup Heng Frozen Food Sdn. Bhd.,"Lot PT 1458, Kawasan Perindustri Sepang,"," ",Sepang,Selangor,43900,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Tanjong Agri Sdn Bhd,"No 257, Jalan Dua Lorong Tujuh"," ",Tanjong Sepat,Selangor,42800,Malaysia,"Tel.  Fax. ",,1115998-H,"GST No. 000106487808 "
TKS Kuala Selangor Enterprise,"No.2,Jalan 6, Taman Seri Penambang"," ",Kuala Selangor,Selangor,45000,Malaysia,"Tel.  Fax. ",,SA0364819-U,"GST No.  "
Po City Enterprise,"107,Jalan Perdana, Taman Kampar Perdana,"," ",Kampar,Perak,31900,Malaysia,"Tel.  Fax. ",,IP0208588W,"GST No. 000888193024 "
Mit Technology Sdn Bhd,"2314 Jalan Hala Timah 1, Taman Bandar Baru,"," ",Kampar,Perak,31900,Malaysia,"Tel. 05-4658895 Fax. ",,717692M,"GST No. 000522772480 "
The Gardeners,"No.130,Lot 7642, Kawasan Perindustrian Sg.Siput Fasa 2,"," Sungai Siput(U),",Perak,,31100,Malaysia,"Tel. 05-5989909,016-5591000 Fax. ",,IP0242452-K,"GST No. 000690077696 "
KS Hardware And Electrical,"44 Jalan Foo Eng Lin, Off Jalan Tokong,"," ",Ipoh,Perak,31650,Malaysia,"Tel. 012-5259762 Fax. ",,IP0452787-X,"GST No.  "
Syarikat Ujijaya,"9A &11A,Jalan Chung Thye Phin, "," ",Ipoh,Perak,30250,Malaysia,"Tel. 05-2535175 Fax. ",,IP0025718-M,"GST No. 000988696576 "
Sin Chew Media Corporation Berhad,"19,Jalan Semangat, "," ",Petaling Jaya,Selangor,46200,Malaysia,"Tel. 03-79658888 Fax. ",,98702-V,"GST No. 000406847488 "
Pasar Mini Rapat Ria,"38-39-40 Jalan Besar, "," Gunung Rapat",Ipoh,Perak,31350,Malaysia,"Tel. 05-3129600 Fax. ",,IP0217775-W,"GST No. 000349315072 "
Leong Stainless Steel Iron Sdn Bhd,No.4 Jalan 14 New Wah Loong," ",Kampar,Perak,31900,Malaysia,"Tel. 016-4161113/05-4653744/012-4361113 Fax. ",,1146427-T,"GST No. 000593899520 "
Rhone Ma Malaysia Sdn Bhd,"Lot 18b , Jalan 241 , Seksyen 51a , P.o.box 150 "," ",Petaling Jaya,Selangor,46710,Malaysia,"Tel.  Fax. ",,525887-w,"GST No. 000531927040 "
YSK SPEEDMART SDN. BHD.,"Wisma YSK No.2, Jalan 6/95B,","Taman Cheras Utama, ",,Kuala Lumpur,56100,Malaysia,"Tel. 03-42930028 Fax. ",,793368-W,"GST No. 001539162112 "
Ngei Sing Farms Sdn. Bhd.,"25A Medan Legenda 1, Medan Lapangan Legenda, "," ",Ipoh,Perak,31350,Malaysia,"Tel.  Fax. ",,452892-w,"GST No.  "
Taiko Marketing Sdn Bhd,"B2-6-01,Blok B2, Meritus@Oasis Corporate Park(Pusat Korporat Oasis),","No.2Jln PJU 1A/2, Ara Damansara,",Petaling Jaya,Selangor,47301,Malaysia,"Tel. 03-76246000/05-3216506,012-2233530 Fax. ",,178854-K,"GST No. 000935067648 "
Jebsen & Jessen Ingredients(M)Sdn Bhd,"7-13A-01,Jebsen & Jessen Tower UOA Business Park(Tower 7 Level 13A)","Jalan Pengaturcara U1/851A,Sek U1 ",Shah Alam,Selangor,40150,Malaysia,"Tel. 03-50306388 Fax. ",,253307-X,"GST No. 000715948032 "
Sepang Agriculture Trading,"No.35,Jalan Cendana 15, Taman Muhibah,"," ",Banting,Selangor,42700,Malaysia,"Tel.  Fax. ",,SA0174399-W,"GST No.  "
Techsol Sdn Bhd,"Suite B-3A-12 Block B, Plaza Mont Kiara,","2,jalan Kiara ",,"Kuala Lumpur,Wilayah Persekutuan",50480,Malaysia,"Tel.  Fax. ",,487836W,"GST No. 000380911616 "
Gopeng Weng Kien Motor Sdn Bhd,"Lot 33,Gopeng Industrial Park, Phase 3"," ",Gopeng,Perak,31600,Malaysia,"Tel. 05-3573388/3339 Fax. ",,666986-H,"GST No. 002021081088 "
Tong Xia Li Agrifarm Sdn Bhd,"5 Jln Cahaya, Desa Lawan Kuda,"," ",Gopeng,,,Malaysia,"Tel.  Fax. ",,1237225-P,"GST No.  "
Euroasia Exim S/B,"No.74,Golf View Terrace, Meru Valley Golf Resort,"," Jelapang",Ipoh,Perak,30020,Malaysia,"Tel. 011-36109719 Fax. ",,1153768K,"GST No. 000599633920 "
Sheng Wai Food Trading,"Lot 149747, Perusahaan Klebang 8,","Kawasan Perindustrian International I.G.B ",Chemor,Perak,31200,Malaysia,"Tel. 018-6321215 Fax. ",,IP0463798-M,"GST No.  "
Teck Hin Co Sdn Bhd,"100,Jalan Idris, "," ",Kampar,Perak,31900,Malaysia,"Tel. 05-4661397 Fax. ",,2618-A,"GST No. 001938186240 "
Chop Chang Jiang Trading Sdn. Bhd.,"25, Jalan 2/38 "," ",Petaling Jaya,Selangor,46000,Malaysia,"Tel.  Fax. ",,1052652-U,"GST No.  "
SK Lim International Enterprise Sdn Bhd,"124B,1st Floor, Jalan Cheras 1,","Kampung Baru Cina Batu 9 Cheras , ",,Selangor,,Malaysia,"Tel.  Fax. ",,1236804-P,"GST No.  "
Lian Teck Supplies Sdn Bhd,"NO 14A, Jalan DS 1/1,Bandar Dataran Segar,"," Lukut,",Port Dicksan,Negeri Sembilan,71010,Malaysia,"Tel. 06-6513899 Fax. ",,NS0171367-K,"GST No. 001406382080 "
Swee Fatt,"A-85,Jalan Besar, "," ",Langkap,Perak,36700,Malaysia,"Tel. 05-6591401 Fax. ",,000308195-U,"GST No. 001822769152 "
G-Mart Ipoh Motor Sdn Bhd,"No.4798,Jln Kuala Kangsar "," ",Ipoh,Perak,30010,Malaysia,"Tel.  Fax. ",,1254511-A,"GST No. 001371058176 "
K Foil Insulation(Malaysia)Sdn Bhd,"9&11,Kilang Berkembar, Lorong IKS Bukit Minyak 1D,","S.P.T, ",,Pulau Pinang,14000,Malaysia,"Tel.  Fax. ",,950435-D,"GST No. 000726728704 "
Leong Hup  Agrobusiness Sdn Bhd,"201-203, Jalan Adbullah "," ",Muar,Johor,84000,Malaysia,"Tel.  Fax. ",,180014-P,"GST No. 000255180800 "
Eng Heap Seng Rice &Flour Mill(M)Sdn Bhd,"968,Permatang Janggus, "," Penaga",Butterworth,Pulau Pinang,13100,Malaysia,"Tel. 04-5761604,019-4111988 Fax. ",,7660-P,"GST No. 000784056320 "
Fook Chew Trading Sdn Bhd,"100,Bukit Pelandok, "," ","Port Dickson,",Negeri Sembilan,71960,Malaysia,"Tel.  Fax. ",,879514-A,"GST No. 000462667776 "
AGCO Sales & Services Sdn Bhd,"Plot 218, Jalan Perindustrian Bukit Minyak 6,","Kawasan Perindustrian Bukit Minyak, Simpang Ampat,",,Penang,14100,Malaysia,"Tel.  Fax. ",,652922-D,"GST No. 001676255232 "
Agco GSI (Malaysia) Sdn Bhd,"Plot 218, Jalan Perindustrian Bukit Minyak 6,","Kawasan Perindustrian Bukit Minyak, Simpang Ampat,",,Penang,14100,Malaysia,"Tel.  Fax. ",,392746-V,"GST No. 000897826816 "
Soon Soon Feedmills Sdn Bhd,"2425, Lorong Perusahaan 2,","Prai Industrial Estate, ",Prai,Penang,13600,Malaysia,"Tel. 04-3828288 Fax. ",,36301-D,"GST No. 000302145536 "
Wong Chee Mun,"NO.55,Lebuh Kledang 1, Kamy Park,"," ",Ipoh,Perak,31450,Malaysia,"Tel. 05-2810891,012-5039036 Fax. ",,000484606-P,"GST No. 001522851840 "
Weng Fatt Calcium Industry,"Lot 104206, Mukim Sungai Raia "," ",Simpang Pulai,,31300,Malaysia,"Tel. 05-3572826 Fax. ",,IP0073860-U,"GST No. 001678884864 "
Top Oss Enterprise,"No.14,Persiaran Medan Bercham 5, Pusat Bandar Baru"," Bercham",Ipoh,Perak,31400,Malaysia,"Tel. 05-5362209 Fax. ",,IP0388756-V,"GST No. 000843681792 "
Goh Hong Farming Sdn. Bhd.,"33,Hala Pantai Makmur 4, Taman Makmur,"," ",Pantai Remis,Perak,34900,Malaysia,"Tel. 012-5083038 Fax. ",,1075563-A,"GST No. 000969834496 "
Vinbo Enterprise,"No.8A, Jalan Rawang Mutiara 2,","Rawang Mutiara Business Centre, ",Rawang,Selangor,48000,Malaysia,"Tel. 03-60944898,016-6119170 Fax. ",,002550742-U,"GST No.  "
Suan Kit Farm Sdn Bhd,"831,Taman Jimah Indah, Tanah Merah Site A,"," ",Sepang,Selangor,43900,Malaysia,"Tel.  Fax. ",,1227419-D,"GST No. 001392078848 "
Chia Chu Long Sdn Bhd,"351-3,Cloud 9, Jalan C.Y.CHOY,"," ",Georgetown,Pulau Pinang,10300,Malaysia,"Tel. 04-2629725,012-4882525,012-4038525 Fax. ",,452621-k,"GST No. 000196141056 "
Orienter Intertrade Co.Sdn Bhd,"332,2nd Floor, Jalan Jelutong,"," ",,Penang,11600,Malaysia,"Tel. 04-2812464 Fax. ",,491657-X,"GST No. 000265437184 "
Sin Kuan Gan Farm Sdn Bhd,Lot 9507 Kg Bertuah," ",Bidor,Perak,35500,Malaysia,"Tel. 019-5111018,012-5038018 Fax. ",,714103-X,"GST No.  "
MVD Express Trading,"7&9 Jalan Kelisa 6, Hulu Yam Bharu,"," ",Batang Kali,Selangor,44300,Malaysia,"Tel. 012-2205028/014-6669830 Fax. ",,002597738-V,"GST No.  "
Taseen Trading Sdn. Bhd.,"No 8, Jalan Astana 1F/KU2 Bandar Bukit Raja"," ",Klang,Selangor,41050,Malaysia,"Tel. 03-33581888 Fax. ",,57699-m,"GST No.  "
Gold Chain Prestige(M) Sdn Bhd,"No.24 Tingkat Betek 2, Sungai Rambau,"," Bukit Mertajam",,,14000,Malaysia,"Tel. 012-4953928/017-8793928 Fax. ",,898930-X,"GST No.  "
Yew Lee Eggs & Trading,"No.648, Lorong 5,Kampung Bercham"," ",Ipoh,Perak,31400,Malaysia,"Tel.  Fax. ",,IP0074677T,"GST No. 001443368960 "
Hong You Trading Sdn Bhd,"2345,Jalan Permatang Tok Mahat, Taman Selesa"," ",Nibong Tebal,S.p.s,14300,Malaysia,"Tel. 012-4885792,012-5979980 Fax. ",,1119606-U,"GST No. 001550712832 "
QL Farming,"8,Temiang Jaya 4, Desa Tamiang Jaya,"," ",Ipoh,Perak,31650,Malaysia,"Tel. 012-5159816 Fax. ",,IP0368299-M,"GST No.  "
OL Farming,"8,Temiang Jaya 4, Desa Temiang Jaya,"," ",Ipoh,Perak,31650,Malaysia,"Tel. 012-5159816 Fax. ",,IP0368299-M,"GST No.  "
Hua Hin Grocer Enterprise,"No.1 Bawah, Jalan Bernam 9,","Taman Bernam, ",Tanjung Malim,Perak,35900,Malaysia,"Tel. 012-6692932 Fax. ",,002385191-W,"GST No.  "
Adisseo Malaysia Sdn Bhd,"K03-10-07,Tower 3,UOA Business Park, No.1,Jalan Pengaturcara U1/51A,","Seksyen U1, ",Shah Alam,Selangor,40150,Malaysia,"Tel. 03-76270060 Fax. ",,1228237-T,"GST No.  "
KANAS ENTERPRISE,"No.6, Laluan Pengkalan Barat 6, Taman Puteri Lindungan Bulan,"," ",Ipoh,Perak,31650,Malaysia,"Tel. 05-3215488 Fax. ",,SA0230889-K,"GST No.  "
"Hup Soon Trading Co.,","Lot 4248,Batu 18, Jeram New Village"," ",Jeram,Perak,31850,Malaysia,"Tel. 05-4650372 Fax. ",,00052038-P,"GST No.  "
Agri Vet Tech Trading,"96,New Gopeng Garden, "," ",Gopeng,Perak,36100,Malaysia,"Tel. 012-5017303 Fax. ",,IP 0233771-V,"GST No.  "
Alltech Biotechnology Malaysia Sdn. Bhd.,"No.6,Jalan Pemberita U1/49, Temasya Industrial Park"," ",Shah Alam,Selangor,40150,Malaysia,"Tel. 03-55698000 Fax. ",,625091-A,"GST No.  "
Evergreen Rice Mill (m) S/b,"Lot 2890,Mukim Sanglang, "," ",Kuala Sanglang,Kedah,6150,Malaysia,"Tel. 04-7944228 Fax. ",,468284-K,"GST No.  "
Seberang Flour Mill Sdn. Bhd.,"2425,Lorong Perusahaan Dua, Prai Industrial Estate,"," ",Prai,Penang,13600,Malaysia,"Tel. 04-3828288 Fax. ",,164320-H,"GST No.  "
Teo Seng Farming Sdn Bhd,"Lot PTD 25740, Batu 4,Jalan Air Hitam,"," ","Yong Peng,",Johor,83700,Malaysia,"Tel. 07-4672289 Fax. ",,111937-P,"GST No.  "
Wan Seng Auto Electric,"No 2,Jalan Besar, Medan Permai,"," ",Malim Nawar,Perak,31700,Malaysia,"Tel. 05-4773311,017-5739877 Fax. ",,,"GST No.  "
Palma Tech Product Sdn Bhd,"No 19,Jalan Anggerik Mokara 31/47, Kota Kemuning,"," ","Shah Alam,",Selangor,40460,Malaysia,"Tel. 03-51315633 Fax. ",,801562-H,"GST No.  "
Grainland Sdn Bhd,"Level 34-2A,Menara Citibank, 165 Jalan Ampang,"," ",,Kuala Lumpur,50450,Malaysia,"Tel. 03-27159733 Fax. ",,1199368-T,"GST No.  "
CHONG KAU,"No 17, Jalan Manggis","Taman Kampar Jaya ",kampar,Perak,31900,Malaysia,"Tel. 016-4660972 Fax. ",,,GST No.  570525-08-6375
Hock Hen Khoon Trading,"No. 2,Lorong Industri 7, Kawasan Industri Bukit Panchor"," ",,Nibong Tebal,14300,Malaysia,Tel.  Fax. Penang,,AS0394114-U,"GST No.  "
Chai Yang Trading,"Lot 7857, Taman Pelangi,"," Perak",Langkap,,36700,Malaysia,"Tel. 05-6594822,019-5750945 Fax. ",,IP 0290874-U,"GST No.  "
Ernst & Young PLT,"21 & 23, Jalan Hussein "," ",Ipoh,Perak,30250,Malaysia,Tel. 05-2102168 Fax. 05-2541572,,AF:0039,"GST No. 001556430848 "
APSN Biotech Sdn Bhd,"Lot 18A &18B, Jalan 241 Seksyen 51A"," ",Petaling Jaya,Selangor,46100,Malaysia,"Tel. 03-78737355 Fax. ",,1216617-P,"GST No.  AMY LIM
016-4111877"
Thye Seng Farming Sdn Bhd,"92-A,Laluan Rasi Jaya 8, Taman Rasi Jaya,"," ",Menglembu,Perak,31450,Malaysia,"Tel. 012-5169382,012-5265896 Fax. ",,1271621-M,"GST No.  "
Nature Agro Green Sdn Bhd,"26A Dataran Tasek Timur 6, Taman Bercham Maju,","Bercham ",Ipoh,Perak,31400,Malaysia,"Tel. 05-5450363 Fax. ",,1294725-X,"GST No.  "
Integrated Aquatic Sdn Bhd,"No 7 Jalan Margosa F/5, Bandar Seri Botani,"," ",Ipoh,Perak,31350,Malaysia,"Tel. 012-5214030 Fax. ",,1292724-D,"GST No.  "
Ayam Srijati,"Lot 315772, Psrn Industri Bercham 16,","Industri Bercham, ",Ipoh,Perak,31400,Malaysia,"Tel. 05-5439880,016-5500673 Fax. ",,IP0406284-V,"GST No.  "
JNJ Smart Enterprise,"No.25 Lengkok IKS Simpang Empat 1, Taman IKS Simpang Ampat,"," ",Simpang Empat,Pulau Pinang,14100,Malaysia,"Tel. 04-5060457,012-4279811,012-4070666 Fax. ",,PG0217651-M,"GST No.  No.10B,Taman Indah 
Lorong 8,Langkawi Indah
07000 Langkawi
Kedah"
Louis Dreyfus Merchandising Malaysia Sdn Bhd,"A-07-11, Level 7,Empire Tower,","Empire Subang,Jalan SS16/1 ",Subang Jaya,Selangor,47500,Malaysia,"Tel. 03-86054852/53 Fax. ",,1062332-M,"GST No. 001650024448 
"
Radiant Farm Sdn. Bhd.,"Lot 3797, Batu 14, Jalan Bidor, "," ",Teluk Intan,Perak,36020,Malaysia,"Tel.  Fax. ",,704555-h,"GST No.  2-5-33 HARBOUR TRADE CENTRE
NO 2 GAT LEBUH MACALLUM
PULAU PINANG
MS MOK"
